date_time,model_name,scaler,accuracy,recall,precision,f1_score,train_time_seconds,model_version
2026-05-30T22:53:45+03:00,LogisticRegression,standardScaler,0.826,0.3447,0.6734,0.456,2.341,0.2.1
2026-05-30T22:53:53+03:00,LogisticRegression,minmaxScaler,0.826,0.3442,0.6738,0.4556,7.6458,0.2.1
2026-05-30T22:53:56+03:00,LogisticRegression,robustScaler,0.826,0.3447,0.6734,0.4559,3.4396,0.2.1
2026-05-31T20:06:00+03:00,DecisionTree_depth8,standardScaler,0.8629,0.5489,0.7363,0.6289,10.325,0.2.1
2026-05-31T20:06:10+03:00,DecisionTree_depth8,minmaxScaler,0.863,0.5489,0.7363,0.629,10.297,0.2.1
2026-05-31T20:06:20+03:00,DecisionTree_depth8,robustScaler,0.863,0.5489,0.7363,0.629,10.177,0.2.1
2026-05-31T20:10:21+03:00,DecisionTree_depth9,standardScaler,0.8619,0.5603,0.7249,0.6319,11.335,0.2.1
2026-05-31T20:10:33+03:00,DecisionTree_depth9,minmaxScaler,0.8619,0.5604,0.7249,0.6319,11.339,0.2.1
2026-05-31T20:10:44+03:00,DecisionTree_depth9,robustScaler,0.8619,0.5603,0.7249,0.6319,11.294,0.2.1
2026-05-31T20:53:36+03:00,LogisticRegression_C1_L2,standardScaler,0.826,0.3447,0.6734,0.456,2.147,0.2.1
2026-05-31T20:53:44+03:00,LogisticRegression_C1_L2,minmaxScaler,0.826,0.3442,0.6738,0.4556,7.3803,0.2.1
2026-05-31T20:53:47+03:00,LogisticRegression_C1_L2,robustScaler,0.826,0.3447,0.6734,0.4559,3.5477,0.2.1
2026-05-31T21:20:54+03:00,LogisticRegression_C1_L2,standardScaler,0.826,0.3447,0.6734,0.456,20.309,0.3.2
2026-05-31T21:21:11+03:00,LogisticRegression_C1_L2,minmaxScaler,0.8259,0.3438,0.6738,0.4553,17.27,0.3.2
2026-05-31T21:21:30+03:00,LogisticRegression_C1_L2,robustScaler,0.826,0.3447,0.6735,0.456,18.552,0.3.2
2026-05-31T22:00:34+03:00,LogisticRegression_C0.001_ElasticNet(0.8)_balanced,standardScaler,0.7429,0.7334,0.4361,0.5469,23.591,0.3.2
2026-05-31T22:01:00+03:00,LogisticRegression_C0.001_ElasticNet(0.8)_balanced,minmaxScaler,0.7185,0.7271,0.4074,0.5222,25.263,0.3.2
2026-05-31T22:15:32+03:00,LogisticRegression_C0.0005_ElasticNet(0.7)_balanced,standardScaler,0.7442,0.7332,0.4377,0.5482,21.604,0.3.2
2026-05-31T22:15:54+03:00,LogisticRegression_C0.0005_ElasticNet(0.7)_balanced,minmaxScaler,0.6945,0.7178,0.382,0.4986,21.96,0.3.2
2026-05-31T22:16:13+03:00,LogisticRegression_C0.0005_ElasticNet(0.7)_balanced,robustScaler,0.7497,0.7275,0.4441,0.5515,19.578,0.3.2
2026-06-09T14:32:49+03:00,LogisticRegression_C0.0005_ElasticNet(0.7)_balanced,standardScaler,0.7442,0.7332,0.4377,0.5482,22.576,0.3.3
2026-06-09T14:33:13+03:00,LogisticRegression_C0.0005_ElasticNet(0.7)_balanced,minmaxScaler,0.6945,0.7178,0.382,0.4986,24.261,0.3.3
2026-06-09T14:33:35+03:00,LogisticRegression_C0.0005_ElasticNet(0.7)_balanced,robustScaler,0.7497,0.7275,0.4441,0.5515,21.1449,0.3.3
2026-06-09T14:34:04+03:00,DecisionTree_depth9,standardScaler,0.8619,0.5603,0.7249,0.6319,11.352,0.3.3
2026-06-09T14:34:16+03:00,DecisionTree_depth9,minmaxScaler,0.8619,0.5604,0.7249,0.6319,11.328,0.3.3
2026-06-09T14:34:27+03:00,DecisionTree_depth9,robustScaler,0.8619,0.5603,0.7249,0.6319,11.344,0.3.3
2026-06-09T14:39:27+03:00,LightGBM_lr0.01_leaves25_est100,standardScaler,0.8578,0.6368,0.6735,0.6546,13.271,0.3.3
2026-06-09T14:39:41+03:00,LightGBM_lr0.01_leaves25_est100,minmaxScaler,0.8577,0.6383,0.6727,0.655,13.5323,0.3.3
2026-06-09T14:39:53+03:00,LightGBM_lr0.01_leaves25_est100,robustScaler,0.8577,0.6385,0.6726,0.6551,12.176,0.3.3
2026-06-09T15:19:59+03:00,LightGBM_lr0.01_leaves25_est100,standardScaler,0.8578,0.6368,0.6735,0.6546,13.057,0.3.3
2026-06-09T15:20:16+03:00,LightGBM_lr0.01_leaves25_est100,minmaxScaler,0.8577,0.6383,0.6727,0.655,16.044,0.3.3
2026-06-09T15:20:32+03:00,LightGBM_lr0.01_leaves25_est100,robustScaler,0.8577,0.6385,0.6726,0.6551,16.116,0.3.3
2026-06-09T19:25:41+03:00,CatBoost_lr0.1_depth8_iter500,standardScaler,0.8182,0.7812,0.5495,0.6451,447.4003,0.4.1
2026-06-09T19:33:39+03:00,CatBoost_lr0.1_depth8_iter500,minmaxScaler,0.818,0.78,0.5493,0.6447,478.5938,0.4.1
