model_name,train_time_sec,train_r2,val_r2,test_r2,train_mae,val_mae,test_mae,train_rmse,val_rmse,test_rmse,param_alpha,param_max_iter,param_l1_ratio,timestamp,n_features,n_samples,test_size,val_size,random_state,use_log_transform,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features,top_1_feature,top_1_importance,top_2_feature,top_2_importance,top_3_feature,top_3_importance,top_4_feature,top_4_importance,top_5_feature,top_5_importance
Linear Regression,0,0.48490969,0.479640164,0.460949371,1983.167601,407.349896,76983.48125,300122.1924,31951.08481,8976045.581,,,,,,,,,,,,,,,,,,,,,,,,,
RidgeCV,0.143733978,0.484909521,0.479642407,0.460956503,1986.553311,407.8014565,77093.78613,300651.4159,31991.30261,8988793.978,5,,,,,,,,,,,,,,,,,,,,,,,,
LassoCV,0.364771128,0.484879579,0.479660427,0.461125128,1987.497502,410.9217431,76648.65812,300799.5341,32258.82965,8933817.558,0.001,20000,,,,,,,,,,,,,,,,,,,,,,,
ElasticNetCV,3.218175411,0.484883967,0.479660991,0.461112624,1988.717769,410.7845825,76735.76142,300990.2347,32247.66976,8944236.13,0.001,20000,0.9,,,,,,,,,,,,,,,,,,,,,,
Linear Regression,0,0.493541048,0.496440408,0.509950039,63.91593429,62.78683988,58.99305951,243.9170949,213.3322794,198.169643,,,,03/07/2026 0:15,16,48895,0.2,0.2,555,TRUE,,,,,,,,,,,,,,,
RidgeCV,0.203780651,0.493541048,0.496440408,0.509950032,63.91593291,62.78683859,58.99305843,243.9170972,213.3322817,198.1696456,0.01,,,03/07/2026 0:15,16,48895,0.2,0.2,555,TRUE,,,,,,,,,,,,,,,
LassoCV,1.05374074,0.493468988,0.49631629,0.509726604,63.88604064,62.75946297,58.97475698,243.9897821,213.4096847,198.2437705,0.001,10000,,03/07/2026 0:15,16,48895,0.2,0.2,555,TRUE,,,,,,,,,,,,,,,
ElasticNetCV,9.768212557,0.493538214,0.496428756,0.509911301,63.90888977,62.78032983,58.98802882,243.9302794,213.3457473,198.183618,0.001,10000,0.1,03/07/2026 0:15,16,48895,0.2,0.2,555,TRUE,,,,,,,,,,,,,,,
Random Forest,108.1642237,0.857539919,0.610229015,0.620012527,39.21511585,55.90122199,52.78785819,201.9387118,202.224865,188.085479,,,,03/07/2026 0:15,16,48895,0.2,0.2,555,TRUE,300,20,5,1,sqrt,rtype_Entire home/apt,0.221089754,rtype_Private room,0.146657523,longitude,0.144779423,manh_center_dist,0.098552345,latitude,0.097130544
Linear Regression,0,0.521035435,0.52189416,0.506859315,165.9586464,60.84893293,3809.754986,16554.20996,216.1339433,351506.0544,,,,03/07/2026 0:20,17,48895,0.2,0.2,555,TRUE,,,,,,,,,,,,,,,
RidgeCV,0.222183704,0.521023886,0.521918865,0.507210793,161.2153512,60.8477816,3614.869184,15784.89368,216.3236637,333104.1423,100,,,03/07/2026 0:20,17,48895,0.2,0.2,555,TRUE,,,,,,,,,,,,,,,
LassoCV,1.198985815,0.520959426,0.521961598,0.507787273,153.3111998,60.85188426,3288.658646,14498.40772,216.6980439,302283.7273,0.001,10000,,03/07/2026 0:20,17,48895,0.2,0.2,555,TRUE,,,,,,,,,,,,,,,
ElasticNetCV,10.48977733,0.520972524,0.521962726,0.507711131,154.3824536,60.85109159,3332.364059,14672.44091,216.6475508,306409.2729,0.001,10000,0.9,03/07/2026 0:20,17,48895,0.2,0.2,555,TRUE,,,,,,,,,,,,,,,
